빵,"모카빵(1인분, 100g)",,305
빵,"버터크림빵(1개, 60g)",,219
빵,"크로와상(1개, 60g)",,172
빵,"슈크림빵(1개, 25g)",,70
빵,피자 1쪽(100g),,250
빵,핫케익1쪽(70g),,245
빵,일반 샌드위치(1인분),,468
빵,초코렡케이크(1조각),,437
빵,생크림케이크(1조각),,244
빵,"야채크로켓(1개, 100g)",,310
빵,"크림빵(1개, 70g)",,294
빵,"팥빵(1개, 80g)",,107
빵,"식빵(1장, 35g)",,110
빵,"프렌치빵(마늘빵, 1개)",,44
빵,햄버거 1개(100g),,400
빵,고르케(소)1개(40g),,290
과일,감1개(160g),,100
과일,사과(200g),,100
과일,참외(240g),,100
과일,수박(250g),,50
과일,자두(80g),,50
과일,"포도(10알, 50g)",,25
과일,오렌지(200g),,100
과일,자몽(240g),,100
과일,파인애플(100g),,58
과일,귤1개(100g),,50
과일,배(400g),,200
과일,토마토(250g),,50
과일,살구(150g),,50
과일,딸기(50g),,50
과일,"방울토마토(10개, 125g)",,25
과일,복숭아(500g),,100
과일,바나나(120g),,100
과일,키위(100g),,50
면,국수장국 1인분(400g),,600
면,라면1인분(120g),,500
면,비빔냉면1인분,,500
면,스파게티1인분(100g),,690
면,유부국수1인분(300g),,500
면,칼국수1인분(100g),,460
면,물냉면1인분,,450
면,냉면1인분,,410
면,라면(계란)1인분,,570
면,사발면1인분(86g),,410
면,우동1인분,,450
면,짜장면1인분(100g),,660
면,컵라면1인분(65g),,300
면,냄비우동1인분,,392
양식,"돈까스(스프, 밥 포함)",,980
양식,"햄벅스테이크(스프, 밥 포함)",,900
양식,"안심스테이크(스프, 밥 포함)",,860
양식,미트소스스파게티,,690
스프,양송이스프,,220
스프,크림스프,,164
샐러드,야채샐러드,,176
양식,"피자(레귤라, 1판)",,"1,120"
양식,"정식(스프, 밥 포함)",,"1,040"
양식,"생선까스(스프, 밥 포함)",,880
양식,오믈렛(100g),,152
양식,해물스파게티,,630
스프,야채스프,,170
샐러드,멕시칸샐러드,,139
양식,콤비네이션피자(1쪽 100g),,250
